CESE/RTOS_1/D2/out/D2.elf:1a000300 0000001c t keys_ButtonError
CESE/RTOS_1/D2/out/D2.elf:1a00031c 00000020 t buttonPressed
CESE/RTOS_1/D2/out/D2.elf:1a00036c 00000030 t buttonReleased
CESE/RTOS_1/D2/out/D2.elf:100009ec 00000004 b heap_end.5864
CESE/RTOS_1/D2/out/D2.elf:100009f4 00002000 b ucHeap
CESE/RTOS_1/D2/out/D2.elf:100009f0 00000004 b pucAlignedHeap.11506
CESE/RTOS_1/D2/out/D2.elf:100029f4 00000004 b xNextFreeByte
CESE/RTOS_1/D2/out/D2.elf:1a00083c 0000002c t prvResetNextTaskUnblockTime
CESE/RTOS_1/D2/out/D2.elf:1a000868 00000012 t prvDeleteTCB
CESE/RTOS_1/D2/out/D2.elf:1a00087a 00000090 t prvInitialiseNewTask
CESE/RTOS_1/D2/out/D2.elf:1a00090c 0000005c t prvInitialiseTaskLists
CESE/RTOS_1/D2/out/D2.elf:1a000968 000000a8 t prvAddNewTaskToReadyList
CESE/RTOS_1/D2/out/D2.elf:1a000a10 0000004c t prvCheckTasksWaitingTermination
CESE/RTOS_1/D2/out/D2.elf:1a000a5c 00000028 t prvIdleTask
CESE/RTOS_1/D2/out/D2.elf:1a000a84 0000007c t prvAddCurrentTaskToDelayedList
CESE/RTOS_1/D2/out/D2.elf:100029fc 00000004 b pxDelayedTaskList
CESE/RTOS_1/D2/out/D2.elf:10002a00 00000004 b pxOverflowDelayedTaskList
CESE/RTOS_1/D2/out/D2.elf:10002a04 0000008c b pxReadyTasksLists
CESE/RTOS_1/D2/out/D2.elf:10002a90 00000004 b uxCurrentNumberOfTasks
CESE/RTOS_1/D2/out/D2.elf:10002a94 00000004 b uxDeletedTasksWaitingCleanUp
CESE/RTOS_1/D2/out/D2.elf:10002a98 00000004 b uxPendedTicks
CESE/RTOS_1/D2/out/D2.elf:10002a9c 00000004 b uxSchedulerSuspended
CESE/RTOS_1/D2/out/D2.elf:10002aa0 00000004 b uxTaskNumber
CESE/RTOS_1/D2/out/D2.elf:10002aa4 00000004 b uxTopReadyPriority
CESE/RTOS_1/D2/out/D2.elf:10002aa8 00000014 b xDelayedTaskList1
CESE/RTOS_1/D2/out/D2.elf:10002abc 00000014 b xDelayedTaskList2
CESE/RTOS_1/D2/out/D2.elf:10002ad0 00000004 b xIdleTaskHandle
CESE/RTOS_1/D2/out/D2.elf:10002ad4 00000004 b xNextTaskUnblockTime
CESE/RTOS_1/D2/out/D2.elf:10002ad8 00000004 b xNumOfOverflows
CESE/RTOS_1/D2/out/D2.elf:10002adc 00000014 b xPendingReadyList
